baseline_ignition_altitude,ascent_twr,descent_velocity,current_altitude,vertical_acceleration,lateral_velocity_x,lateral_velocity_y,lateral_position_x,lateral_position_y,pitch_angle,roll_angle,yaw_angle,omega_x,omega_y,omega_z,inferred_mass,inferred_drag_coeff,estimated_drag_area,air_density,ambient_temp,wind_speed,dynamic_pressure,time_since_apogee,thrust_available,burn_time_remaining,predicted_ignition_altitude,rocket_class,fault_type,TARGET_correction
71,8.707270747088641,-47.40432540735547,811.4222690138577,-11.122350915555314,0.052626322590033914,0.4165773364332548,6.1508065672857315,4.1803052557976175,-0.33921849643644797,0.07226133711672142,-0.20174831662153453,0.37174419630070227,0.44867707671797097,-0.12688949982313572,3.944724742861871,0.1914043314464121,0.0009445996869099014,1.215152897523046,-8.482102421123429,-3.2108179823691247,1402.9733831417993,5.0,365.1507900720989,3.416200835329998,16.675306949080028,Medium,thrust_var,9
71,9.129668063498636,-48.932713761269895,806.7886616020178,-10.69278727435946,-0.09010814642658857,-0.24143607499809744,-5.03057946541748,-5.254559789140934,-0.30353976749695055,-0.024585592797388006,-0.24437202568669575,0.36861185337808877,0.4444582316021666,-0.13494653215042166,3.8130620718957156,0.16680515432266674,0.0010574112986676087,1.215152897523046,-4.129437307290475,-3.139920675314686,1402.9733831417993,5.0,318.7191084657195,3.416200835329998,16.67530694908003,Medium,mass_loss,-8
71,10.20140613030029,-47.79931937252675,806.0355727341117,-10.627152361866884,0.7505094638581328,0.14088623681265128,-8.495036024218338,0.88687695919773,-0.29839662115125676,0.1941527823881387,-0.07905938735361366,0.3551262361855633,0.4236587901436944,-0.1354743955911749,3.787650811296747,0.11190681289801307,0.0009403627673145902,1.215152897523046,-7.746811751406408,0.2503093941257771,1402.9733831417993,5.0,359.14641888406504,3.416200835329998,16.675306949080028,Medium,thrust_var,12
71,9.280432749431219,-48.41887928124378,808.4676689110122,-10.382536928478721,-0.15528338971085143,0.06713638549166955,-0.08211448036376037,5.94196636724042,-0.08050923114789141,0.009240760138914686,-0.21531509382874847,0.372227229784208,0.45293437702989586,-0.10822361046288673,3.9338360088466353,0.18203539546064704,0.0010028275161535793,1.215152897523046,-5.15424726170009,1.640964362394728,1402.9733831417993,5.0,364.0752946938823,3.416200835329998,16.675306949080028,Medium,thrust_var,12
43,21.805304273715233,-20.753532009579075,1139.0811839795922,-9.975037357044135,0.07997416400848091,-0.12041392719966794,2.690111773984219,0.23977025141552824,0.2144305794762841,-0.038365671379326574,-0.13600971008672982,-0.30278201192893267,-0.4177654994756463,-0.1776130817297775,0.38295149028677594,0.2087319634683914,0.00012043781347487565,0.8463883224292769,27.092889131251724,-0.9602637353917015,170.60753517922458,5.0,76.87082672127445,1.4613152881849074,5.0,Micro,mass_loss,-3
43,20.397533830970254,-19.12300550937827,1138.298250373609,-9.647055445639534,-0.18872159162082866,-0.05056676221882831,-2.2458190438778143,5.633765959631014,0.12559729363735633,0.07026981569099788,-0.11087203102165319,-0.3073474307198487,-0.402915178190372,-0.172489624799441,0.463456548588937,0.17526483155411088,0.00013641555312882177,0.8463883224292769,26.625150267640482,0.8616804886674967,170.60753517922458,5.0,88.1888254129603,1.4613152881849074,5.0,Micro,thrust_var,0
43,19.410959321080828,-20.424361838548286,1135.9997444558464,-9.969299039359402,-0.07237081735689896,0.10561661895428903,-6.25769712095222,7.2188230203662975,0.14987392335133237,0.08957383260326057,-0.12765073426237003,-0.3022996032211691,-0.4102041027296933,-0.16908933789653388,0.4021698518171943,0.2664576265066216,0.00014994390136530296,0.8463883224292769,26.58086672430229,-0.17947138857445344,170.60753517922458,5.0,81.80261607717033,1.4613152881849074,5.0,Micro,mass_loss,-3
43,19.515397598896982,-19.775325258301937,1133.1173749231568,-9.928853486040811,0.13339655570008774,-0.29860660917720505,4.4536904188744515,-8.588968118808161,0.16880442897088874,0.03166614434405376,-0.1507369003677999,-0.3186461018425127,-0.4252719955760146,-0.15737840324650104,0.4719334772348143,0.23710422942618994,0.00016087481972393904,0.8463883224292769,26.854886298467804,-0.6467124245724175,170.60753517922458,5.0,87.33625151151028,1.4613152881849074,5.0,Micro,thrust_var,0
43,21.565310236875433,-19.187595258394982,1134.3382791526092,-9.98460665401704,-0.08075583950441668,-0.02584153364500918,-0.8950598355874272,-3.6593854281510856,0.16375199652079245,-0.019422597846950884,-0.09534286471580433,-0.3006340373461609,-0.4208364036956555,-0.17801625671044563,0.4510309822576729,0.16007273421969087,0.00017369986813983663,0.8463883224292769,25.878710666508802,0.786526302767355,170.60753517922458,5.0,90.09754629730307,1.4613152881849074,5.0,Micro,thrust_var,0
43,20.661400038491838,-18.871710846049098,1137.3937350504116,-9.596829845904983,0.40544352884205215,0.13924039806699112,-2.8985045573681374,-0.12052439076250668,0.14288585963128314,-0.027016906758609308,-0.11227292283327009,-0.29119360539311284,-0.4188848104775298,-0.15192985850445967,0.41025361732420995,0.2527181774193602,0.00017163434958199615,0.8463883224292769,24.754798047163145,-0.37211301028576177,170.60753517922458,5.0,91.67161686658912,1.4613152881849074,5.0,Micro,thrust_var,0
43,22.828928049315664,-19.86024596877065,1136.1669234448939,-9.967935257390476,0.18405539181912497,-0.30683776955952163,-1.2868826871167256,-8.342920369387947,0.1739426384012248,0.06606883800899124,-0.16894632469622395,-0.29112726777980663,-0.4281594321620388,-0.18821017229880524,0.4498951748365549,0.25235491513060776,0.00017181680616062343,0.8463883224292769,24.245090683387385,2.1573616668625912,170.60753517922458,5.0,86.96110935886851,1.4613152881849074,5.0,Micro,drag_change,0
43,20.080579665259844,-20.759927632883226,1134.7459375422968,-10.449102615115743,-0.1468618331074511,0.1867669000027745,-2.3815032048441394,6.94156350716904,0.2369788624072252,0.0974912651551429,-0.133254956068037,-0.3301139281375716,-0.4229387504523414,-0.1749868087644509,0.4250180341792042,0.19302472622567146,0.00017073066219321553,0.8463883224292769,21.87130615009463,3.6233841122380532,170.60753517922458,5.0,90.9831299688849,1.4613152881849074,5.0,Micro,thrust_var,0
43,21.407067048677533,-20.12183019217276,1137.7055027381796,-10.241291912470567,0.33231613508451013,-0.2124236598582424,-7.779493252449478,-1.3619798524990447,0.04922360613696153,0.046417735636164296,-0.15774952371026651,-0.29453026619894657,-0.4094125334269454,-0.18748638686858712,0.42625219645867524,0.22603322102671047,0.00015951061328718476,0.8463883224292769,27.607861038899028,2.429018570610696,170.60753517922458,5.0,86.73886913871324,1.4613152881849074,5.0,Micro,wind_gust,-3
43,21.196538032438404,-19.533689448927447,1135.0580186051138,-9.977428922782872,-0.3712024936341139,0.18877469156807544,0.9546887538665787,-4.472816162068921,0.10992612479463773,0.11450696619079137,-0.046203564058164406,-0.30899848877938013,-0.4152242398043937,-0.16956527875022487,0.4481952021132767,0.1162851139730685,0.00015334598793527034,0.8463883224292769,20.987081139924047,-1.4653683825152382,170.60753517922458,5.0,89.33073411991421,1.4613152881849074,5.0,Micro,drag_change,0
