rocket_class,ascent_twr,descent_velocity,current_altitude,inferred_mass,inferred_drag_coeff,wind_speed,baseline_ignition_altitude,fault_type,TARGET_correction
Heavy,25.8228575761549,-48.496864473169886,563.2635067624177,43.2886965249878,0.37096003426980045,12.134129274474658,10,drag_change,4
Heavy,26.340838483723417,-48.3874687407602,560.5179871492609,42.9200373469841,0.574919557642194,13.281192797717415,10,mass_loss,2
Heavy,25.345862041273264,-47.63632262071952,563.0980658230387,42.575536963861786,0.5590438843606312,12.594802510856237,10,thrust_var,0
Heavy,28.155569621781122,-48.62460004548541,559.7803328846007,47.92671919485025,0.5101880532920094,8.534302345741596,10,mass_loss,4
Heavy,25.403233572888603,-48.15317392555576,561.818179652768,45.07198813309924,0.5676800357663795,25.128027336292703,10,wind_gust,2
Heavy,25.82127071023988,-49.165204229315634,560.6615513373712,45.19344267384368,0.5233576390665964,35.5151415996344,10,wind_gust,4
Micro,27.022689085560035,-30.901499396038762,878.2015290473677,0.3286625677686997,0.5901547717017969,11.507043168561346,30,mass_loss,0
Micro,24.704257148321766,-31.37939721785538,877.6100544640638,0.3485031888733538,0.5031889521019883,16.95249721926539,30,drag_change,0
Micro,24.858874909970602,-32.35914134286299,877.0951584059992,0.34200959062115294,0.5970392791468973,13.872757325927894,30,drag_change,0
Micro,26.629282878113585,-30.72419490721288,879.6162516283982,0.32417776897091105,0.48506511543980624,12.842450948742913,30,thrust_var,0
Micro,24.319656825761538,-31.128371562964542,879.7245917896079,0.3280633720835066,0.5586424361456878,11.55808803109753,30,mass_loss,-6
Micro,26.23793894389071,-31.63658500347914,880.9667461887835,0.3301751284704413,0.6656218351030029,15.788132204102514,30,thrust_var,0
Micro,26.32200773221814,-30.95045898683764,882.0533504930262,0.33994632463671326,0.6285262772481411,25.070816808752888,30,wind_gust,-4
Micro,28.17572141569465,-30.561082056169315,880.0613180726002,0.3541699663164692,0.6647089898887176,27.013553088459034,30,wind_gust,0
Micro,24.122215184019392,-31.411850798321623,881.5003371486665,0.34808705513238175,0.6255781775903988,12.828584389111523,30,drag_change,0
Micro,26.077545322363118,-32.14590735127827,878.5762177438919,0.3064259414898192,0.4909132174309587,12.073493569498158,30,thrust_var,0
Micro,22.808609444593635,-60.47404078923182,858.5459820630884,0.43674015688784634,0.5786969303505798,25.43685694053454,40,wind_gust,0
Micro,21.485433865139616,-62.32642610254878,858.3897124820422,0.4252232178580756,0.5021608233494455,25.239351527407738,40,wind_gust,0
Micro,18.867472238917983,-61.046486551878196,857.4859713698961,0.4351003271707851,0.5720932679045826,10.856564925725907,40,mass_loss,-7
Micro,21.258419939161584,-61.21096919106688,856.5601917987469,0.448265507069985,0.5091595624935761,9.509955935470447,40,thrust_var,0
Micro,21.322074316672037,-61.805582578399836,861.7896411050018,0.3402932345351287,0.4656152164779445,10.174024158054465,40,thrust_var,1
Micro,20.452444539659172,-61.81641416420926,862.6061942141292,0.3938848423049264,0.5792365556515603,25.95124631333465,40,wind_gust,0
Micro,21.625636707758353,-60.51471721433365,859.1904905422356,0.43639588887114117,0.5334275107224051,9.928358251055435,40,mass_loss,-10
Micro,19.9264006018922,-60.849461980358754,860.1789829676542,0.33734908144581155,0.5028645055417135,14.262171486663778,40,thrust_var,1
Micro,22.21364992586076,-60.99084222835655,861.7931276858268,0.3636914908738051,0.6666176111946363,10.751075223675942,40,thrust_var,0
Micro,21.308304544284766,-61.10379149936019,859.0082637719504,0.41911515437864266,0.39679921235500565,11.99803911447007,40,drag_change,0
Heavy,9.051918988755522,-75.52134481359649,579.8195877845017,81.36476564688283,0.7657879722061065,4.569277959363574,14,thrust_var,0
Heavy,9.490357546872445,-75.75515731234556,578.4484683866252,88.75708270395587,0.6959556336329447,5.558563007060217,14,drag_change,-4
Heavy,8.500752354242096,-76.50759637654225,577.4065463556013,83.77967972982886,0.5569985217940605,3.0551373851812187,14,thrust_var,0
Heavy,9.099970130006612,-75.80192557199847,580.0790639467671,81.05068839736316,0.6595661154978852,6.903068646543762,14,mass_loss,-2
Heavy,7.946180831214265,-74.54025473245285,576.3977284200739,78.50000581711106,0.7268091709939535,8.54171416901416,14,mass_loss,0
Heavy,9.818595151762375,-75.52315919443234,579.5357069792636,93.32435844783402,0.6415397633997575,17.101330039479084,14,wind_gust,0
Heavy,8.966308680576116,-75.4896837538978,578.7990799780322,87.90255639536656,0.7153102351550279,1.7615129901321447,14,drag_change,-4
Heavy,9.318246382845203,-75.58230409274996,584.0884257527262,89.72372879234648,0.6855126081387483,2.703385638699424,14,drag_change,0
Heavy,8.634940715086113,-75.79804259374674,580.2769775516501,69.55461884571734,0.6663309288435604,0.9941583664992053,14,thrust_var,0
Heavy,8.823686622816082,-75.42156330164309,578.8891818117771,88.94241231019485,0.6908354484794859,8.53755829844105,14,wind_gust,0
Medium,32.21661594327759,-37.74023949153555,890.9134943175662,2.3421040715071464,0.6593203118210917,2.3619602429438054,24,thrust_var,0
Medium,33.05104069957191,-38.2166489583895,886.9930991819841,2.674203900778701,0.5634890886631858,2.9487483135879673,24,drag_change,0
Medium,34.96031330508767,-38.2813018593123,886.7747028992752,2.3306864332403205,0.737357615723777,4.829699915377365,24,mass_loss,-4
Medium,34.91821745731652,-37.29311583720662,891.008532904543,2.5419715699340557,0.6214764567234096,14.474158295439826,24,wind_gust,-2
Medium,33.25426185310365,-38.402528211995495,888.34738546557,2.4194927398084296,0.6740569474881875,1.081655180293374,24,mass_loss,-2
Medium,34.58634297920572,-38.19609345224968,890.9085231222224,2.2195779081409763,0.5981897672582049,4.08755200093362,24,thrust_var,0
Medium,35.440599991799125,-36.92187842789168,889.1249434318246,2.4262479672225292,0.6782454336297664,1.259827078332494,24,thrust_var,0
Medium,36.49587599562509,-37.54794668717638,888.9922679695778,2.423897027941364,0.9650036007476245,2.0214137199358895,24,drag_change,-4
Medium,36.1192926363576,-37.590580786195474,887.4613150263569,2.5364377577587542,0.6843683743033859,2.905035469690467,24,drag_change,6
